[CUDA] Initialized TensorBoard logging to ./logs/
Global Meta-Models Initialized and shared in memory.
Starting 8 persistent workers...
Meta-Iter 1/16000 | Loss: 64.3721 | Reward: -116.4433 | Success: 7.00%
Meta-Iter 2/16000 | Loss: 35.9128 | Reward: -141.5366 | Success: 3.26%
Meta-Iter 3/16000 | Loss: 87.3231 | Reward: -95.3585 | Success: 8.59%
Meta-Iter 4/16000 | Loss: 36.6169 | Reward: -122.7340 | Success: 4.69%
Meta-Iter 5/16000 | Loss: 55.4050 | Reward: -108.2997 | Success: 4.88%
Meta-Iter 6/16000 | Loss: 44.1688 | Reward: -109.6030 | Success: 5.31%
Meta-Iter 7/16000 | Loss: 28.8834 | Reward: -105.5123 | Success: 5.76%
Meta-Iter 8/16000 | Loss: 23.6593 | Reward: -93.5591 | Success: 6.05%
Meta-Iter 9/16000 | Loss: 69.0538 | Reward: -74.6676 | Success: 8.69%
Meta-Iter 10/16000 | Loss: 58.4179 | Reward: -69.2345 | Success: 6.77%
Meta-Iter 11/16000 | Loss: 81.8914 | Reward: -57.2518 | Success: 9.86%
Meta-Iter 12/16000 | Loss: 70.0384 | Reward: -85.9999 | Success: 6.02%
Meta-Iter 13/16000 | Loss: 33.8216 | Reward: -55.6353 | Success: 7.85%
Meta-Iter 14/16000 | Loss: 72.0975 | Reward: -54.4845 | Success: 8.40%
Meta-Iter 15/16000 | Loss: 90.4345 | Reward: -33.2785 | Success: 11.65%
Meta-Iter 16/16000 | Loss: 60.5380 | Reward: -53.3570 | Success: 8.30%
Meta-Iter 17/16000 | Loss: 69.7808 | Reward: -35.9210 | Success: 7.65%
Meta-Iter 18/16000 | Loss: 43.3042 | Reward: -54.3873 | Success: 7.23%
Meta-Iter 19/16000 | Loss: 49.4703 | Reward: -55.9850 | Success: 7.49%
Meta-Iter 20/16000 | Loss: 72.8719 | Reward: -38.6106 | Success: 8.04%
Meta-Iter 21/16000 | Loss: 46.7951 | Reward: -55.1840 | Success: 6.05%
Meta-Iter 22/16000 | Loss: 92.9624 | Reward: -7.5275 | Success: 8.33%
Meta-Iter 23/16000 | Loss: 66.1819 | Reward: -12.9000 | Success: 9.60%
Meta-Iter 24/16000 | Loss: 62.5328 | Reward: -42.9758 | Success: 7.23%
Meta-Iter 25/16000 | Loss: 55.5010 | Reward: -51.1453 | Success: 5.63%
Meta-Iter 26/16000 | Loss: 32.9696 | Reward: -35.6922 | Success: 7.32%
Meta-Iter 27/16000 | Loss: 89.9648 | Reward: -6.0334 | Success: 9.51%
Meta-Iter 28/16000 | Loss: 105.7089 | Reward: 22.7881 | Success: 13.48%
Meta-Iter 29/16000 | Loss: 36.5942 | Reward: -47.2864 | Success: 5.50%
Meta-Iter 30/16000 | Loss: 64.8924 | Reward: -27.2065 | Success: 7.91%
