[CUDA] Initialized TensorBoard logging to ./logs/
Global Meta-Models Initialized and shared in memory.
Starting 8 persistent workers...
Meta-Iter 1/6000 | Loss: 53.9255 | Reward: -6.3064 | Success: 2.73%
Meta-Iter 2/6000 | Loss: 67.9455 | Reward: 1.0022 | Success: 3.81%
Meta-Iter 3/6000 | Loss: 47.5963 | Reward: -5.0722 | Success: 2.80%
Meta-Iter 4/6000 | Loss: 55.8506 | Reward: -4.7960 | Success: 2.99%
Meta-Iter 5/6000 | Loss: 69.7752 | Reward: -1.3073 | Success: 3.42%
Meta-Iter 6/6000 | Loss: 80.4102 | Reward: -4.6547 | Success: 3.26%
Meta-Iter 7/6000 | Loss: 64.0180 | Reward: -4.9261 | Success: 2.86%
Meta-Iter 8/6000 | Loss: 64.1066 | Reward: 2.6545 | Success: 3.71%
Meta-Iter 9/6000 | Loss: 64.4462 | Reward: -5.2127 | Success: 3.03%
Meta-Iter 10/6000 | Loss: 80.1709 | Reward: -0.6364 | Success: 3.87%
Meta-Iter 11/6000 | Loss: 49.8707 | Reward: -6.7417 | Success: 2.51%
Meta-Iter 12/6000 | Loss: 47.1847 | Reward: -7.2185 | Success: 2.34%
Meta-Iter 13/6000 | Loss: 51.9325 | Reward: -4.5831 | Success: 2.93%
Meta-Iter 14/6000 | Loss: 57.1464 | Reward: 2.4655 | Success: 3.58%
Meta-Iter 15/6000 | Loss: 70.0890 | Reward: -0.0881 | Success: 3.42%
Meta-Iter 16/6000 | Loss: 76.8280 | Reward: 0.4781 | Success: 4.07%
Meta-Iter 17/6000 | Loss: 35.5503 | Reward: -10.3166 | Success: 2.08%
Meta-Iter 18/6000 | Loss: 49.6181 | Reward: -3.6972 | Success: 3.12%
Meta-Iter 19/6000 | Loss: 54.5177 | Reward: -3.8344 | Success: 2.99%
Meta-Iter 20/6000 | Loss: 74.8628 | Reward: -4.9730 | Success: 3.06%
Meta-Iter 21/6000 | Loss: 49.6546 | Reward: -13.2607 | Success: 2.44%
Meta-Iter 22/6000 | Loss: 82.3221 | Reward: 2.7375 | Success: 4.23%
Meta-Iter 23/6000 | Loss: 26.0867 | Reward: -18.9031 | Success: 1.01%
Meta-Iter 24/6000 | Loss: 27.0215 | Reward: -10.9402 | Success: 1.89%
Meta-Iter 25/6000 | Loss: 88.2471 | Reward: 5.5096 | Success: 4.62%
Meta-Iter 26/6000 | Loss: 64.0361 | Reward: 1.5577 | Success: 3.91%
Meta-Iter 27/6000 | Loss: 73.0764 | Reward: 5.7856 | Success: 4.13%
Meta-Iter 28/6000 | Loss: 59.3360 | Reward: 0.5486 | Success: 3.39%
Meta-Iter 29/6000 | Loss: 74.1247 | Reward: -2.9128 | Success: 3.52%
Meta-Iter 30/6000 | Loss: 56.8148 | Reward: 3.4288 | Success: 3.91%
Meta-Iter 31/6000 | Loss: 45.7775 | Reward: -5.2968 | Success: 2.77%
