[CUDA] Initialized TensorBoard logging to ./logs/
Global Meta-Models Initialized and shared in memory.
Starting 8 persistent workers...
Meta-Iter 1/16000 | Loss: 65.3101 | Reward: -127.4777 | Success: 4.69%
Meta-Iter 2/16000 | Loss: 42.9229 | Reward: -99.8601 | Success: 9.11%
Meta-Iter 3/16000 | Loss: 20.2104 | Reward: -154.9617 | Success: 2.18%
Meta-Iter 4/16000 | Loss: 53.4644 | Reward: -125.0578 | Success: 5.99%
Meta-Iter 5/16000 | Loss: 45.7514 | Reward: -133.4251 | Success: 4.56%
Meta-Iter 6/16000 | Loss: 37.0275 | Reward: -128.3584 | Success: 4.62%
Meta-Iter 7/16000 | Loss: 61.8384 | Reward: -113.6623 | Success: 5.86%
Meta-Iter 8/16000 | Loss: 23.9156 | Reward: -128.4258 | Success: 3.71%
Meta-Iter 9/16000 | Loss: 58.9993 | Reward: -90.8977 | Success: 7.58%
Meta-Iter 10/16000 | Loss: 41.3924 | Reward: -108.7929 | Success: 6.38%
Meta-Iter 11/16000 | Loss: 70.0979 | Reward: -104.6678 | Success: 6.45%
Meta-Iter 12/16000 | Loss: 59.6850 | Reward: -87.5482 | Success: 7.32%
Meta-Iter 13/16000 | Loss: 89.4623 | Reward: -84.8858 | Success: 8.33%
Meta-Iter 14/16000 | Loss: 54.6097 | Reward: -83.7790 | Success: 6.48%
Meta-Iter 15/16000 | Loss: 17.5756 | Reward: -115.4433 | Success: 3.55%
Meta-Iter 16/16000 | Loss: 58.7104 | Reward: -79.4319 | Success: 6.41%
Meta-Iter 17/16000 | Loss: 66.8553 | Reward: -65.9074 | Success: 7.49%
Meta-Iter 18/16000 | Loss: 26.8813 | Reward: -79.2706 | Success: 4.56%
Meta-Iter 19/16000 | Loss: 28.6060 | Reward: -83.7959 | Success: 5.83%
Meta-Iter 20/16000 | Loss: 34.7269 | Reward: -67.6309 | Success: 6.58%
Meta-Iter 21/16000 | Loss: 62.3973 | Reward: -69.9459 | Success: 6.15%
Meta-Iter 22/16000 | Loss: 46.2308 | Reward: -70.2501 | Success: 5.37%
Meta-Iter 23/16000 | Loss: 70.1889 | Reward: -54.3906 | Success: 6.77%
Meta-Iter 24/16000 | Loss: 88.0940 | Reward: -62.7019 | Success: 7.13%
Meta-Iter 25/16000 | Loss: 36.3610 | Reward: -67.5448 | Success: 4.72%
Meta-Iter 26/16000 | Loss: 72.6406 | Reward: -41.6825 | Success: 6.71%
Meta-Iter 27/16000 | Loss: 78.4324 | Reward: -29.0406 | Success: 8.20%
Meta-Iter 28/16000 | Loss: 48.1630 | Reward: -31.7026 | Success: 9.73%
Meta-Iter 29/16000 | Loss: 85.5897 | Reward: -23.1227 | Success: 7.39%
Meta-Iter 30/16000 | Loss: 79.4222 | Reward: -24.5164 | Success: 6.84%
Meta-Iter 31/16000 | Loss: 41.3208 | Reward: -42.9295 | Success: 4.79%
Meta-Iter 32/16000 | Loss: 76.8861 | Reward: -27.3695 | Success: 6.71%
Meta-Iter 33/16000 | Loss: 104.1789 | Reward: -4.7760 | Success: 9.11%
Meta-Iter 34/16000 | Loss: 76.7954 | Reward: -5.9291 | Success: 9.44%
Meta-Iter 35/16000 | Loss: 67.6386 | Reward: -6.0477 | Success: 9.08%
Meta-Iter 36/16000 | Loss: 94.2896 | Reward: -21.2176 | Success: 7.78%
Meta-Iter 37/16000 | Loss: 70.8722 | Reward: 24.3400 | Success: 12.53%
Meta-Iter 38/16000 | Loss: 106.8247 | Reward: 8.2789 | Success: 9.51%
Meta-Iter 39/16000 | Loss: 62.2094 | Reward: -14.8954 | Success: 5.83%
Meta-Iter 40/16000 | Loss: 62.1046 | Reward: -43.0901 | Success: 4.07%
Meta-Iter 41/16000 | Loss: 59.8672 | Reward: -15.0142 | Success: 5.86%
Meta-Iter 42/16000 | Loss: 115.5611 | Reward: 35.8591 | Success: 13.25%
Meta-Iter 43/16000 | Loss: 97.0130 | Reward: -6.0793 | Success: 8.98%
