[CUDA] Initialized TensorBoard logging to ./logs/
Global Meta-Models Initialized and shared in memory.
Starting 8 persistent workers...
Meta-Iter 70/6400 | Loss: 70.1928 | Reward: -39.9696 | Success: 5.86%
Meta-Iter 71/6400 | Loss: 43.6306 | Reward: -62.0224 | Success: 3.09%
Meta-Iter 72/6400 | Loss: 73.8430 | Reward: -61.7624 | Success: 3.06%
Meta-Iter 73/6400 | Loss: 112.7426 | Reward: -38.1532 | Success: 6.02%
Meta-Iter 74/6400 | Loss: 28.5329 | Reward: -56.4428 | Success: 4.20%
Meta-Iter 75/6400 | Loss: 42.1634 | Reward: -74.8368 | Success: 1.95%
Meta-Iter 76/6400 | Loss: 51.3543 | Reward: -56.7948 | Success: 3.91%
Meta-Iter 77/6400 | Loss: 82.0208 | Reward: -48.7234 | Success: 4.72%
Meta-Iter 78/6400 | Loss: 48.8623 | Reward: -70.7516 | Success: 2.28%
Meta-Iter 79/6400 | Loss: 50.2704 | Reward: -52.1021 | Success: 4.56%
Meta-Iter 80/6400 | Loss: 80.6578 | Reward: -50.4452 | Success: 4.49%
Meta-Iter 81/6400 | Loss: 91.7962 | Reward: -43.1719 | Success: 5.44%
Meta-Iter 82/6400 | Loss: 62.4342 | Reward: -54.7006 | Success: 4.26%
Meta-Iter 83/6400 | Loss: 47.9291 | Reward: -58.6307 | Success: 3.39%
Meta-Iter 84/6400 | Loss: 80.3542 | Reward: -46.2395 | Success: 4.82%
Meta-Iter 85/6400 | Loss: 84.2086 | Reward: -56.5400 | Success: 3.74%
Meta-Iter 86/6400 | Loss: 70.8311 | Reward: -41.6886 | Success: 5.66%
Meta-Iter 87/6400 | Loss: 160.0872 | Reward: -29.9886 | Success: 6.90%
Meta-Iter 88/6400 | Loss: 93.8712 | Reward: -33.4739 | Success: 6.71%
Meta-Iter 89/6400 | Loss: 59.1281 | Reward: -61.3530 | Success: 3.32%
Meta-Iter 90/6400 | Loss: 65.9802 | Reward: -61.4574 | Success: 2.99%
Meta-Iter 91/6400 | Loss: 34.1647 | Reward: -47.9293 | Success: 5.18%
Meta-Iter 92/6400 | Loss: 93.6809 | Reward: -48.8683 | Success: 4.65%
Meta-Iter 93/6400 | Loss: 68.8984 | Reward: -30.9180 | Success: 7.29%
Meta-Iter 94/6400 | Loss: 56.3020 | Reward: -58.4561 | Success: 3.26%
Meta-Iter 95/6400 | Loss: 46.9706 | Reward: -54.4316 | Success: 4.17%
Meta-Iter 96/6400 | Loss: 64.8764 | Reward: -52.4207 | Success: 4.23%
Meta-Iter 97/6400 | Loss: 74.6220 | Reward: -47.0719 | Success: 4.95%
Meta-Iter 98/6400 | Loss: 79.4408 | Reward: -58.5580 | Success: 3.61%
Meta-Iter 99/6400 | Loss: 112.8572 | Reward: -51.7967 | Success: 4.65%
Meta-Iter 100/6400 | Loss: 50.2084 | Reward: -35.0267 | Success: 6.51%
Saved Checkpoint to ./models/ at Meta-Iteration 100
Meta-Iter 101/6400 | Loss: 90.0451 | Reward: -34.7103 | Success: 6.67%
Meta-Iter 102/6400 | Loss: 73.6900 | Reward: -49.4235 | Success: 4.65%
Meta-Iter 103/6400 | Loss: 73.0944 | Reward: -61.6686 | Success: 3.42%
Meta-Iter 104/6400 | Loss: 40.8792 | Reward: -59.0204 | Success: 3.71%
Meta-Iter 105/6400 | Loss: 91.2452 | Reward: -23.7964 | Success: 7.81%
Meta-Iter 106/6400 | Loss: 32.8524 | Reward: -76.6410 | Success: 1.46%
Meta-Iter 107/6400 | Loss: 123.7796 | Reward: -32.2443 | Success: 7.06%
Meta-Iter 108/6400 | Loss: 79.9639 | Reward: -49.7695 | Success: 4.59%
Meta-Iter 109/6400 | Loss: 83.5852 | Reward: -41.2230 | Success: 5.57%
Meta-Iter 110/6400 | Loss: 105.4955 | Reward: -41.8582 | Success: 5.24%
Meta-Iter 111/6400 | Loss: 71.7285 | Reward: -54.6035 | Success: 4.00%
Meta-Iter 112/6400 | Loss: 55.1607 | Reward: -51.8896 | Success: 4.52%
Meta-Iter 113/6400 | Loss: 71.6031 | Reward: -58.1841 | Success: 3.81%
Meta-Iter 114/6400 | Loss: 41.4197 | Reward: -68.3054 | Success: 2.47%
Meta-Iter 115/6400 | Loss: 104.1986 | Reward: -41.1970 | Success: 6.02%
Meta-Iter 116/6400 | Loss: 101.7457 | Reward: -47.2083 | Success: 5.27%
Meta-Iter 117/6400 | Loss: 12.7318 | Reward: -80.6160 | Success: 1.07%
Meta-Iter 118/6400 | Loss: 103.6337 | Reward: -37.2126 | Success: 5.83%
Meta-Iter 119/6400 | Loss: 86.8937 | Reward: -37.2610 | Success: 6.51%
Meta-Iter 120/6400 | Loss: 76.1294 | Reward: -42.9701 | Success: 5.01%
Meta-Iter 121/6400 | Loss: 52.3428 | Reward: -51.0533 | Success: 4.75%
Meta-Iter 122/6400 | Loss: 47.3355 | Reward: -51.0450 | Success: 4.43%
Meta-Iter 123/6400 | Loss: 82.5143 | Reward: -53.0701 | Success: 4.13%
Meta-Iter 124/6400 | Loss: 156.7781 | Reward: -4.8744 | Success: 9.96%
Meta-Iter 125/6400 | Loss: 49.4091 | Reward: -51.2212 | Success: 4.75%
Meta-Iter 126/6400 | Loss: 67.1978 | Reward: -53.0040 | Success: 4.30%
Meta-Iter 127/6400 | Loss: 73.9007 | Reward: -45.9161 | Success: 5.57%
Meta-Iter 128/6400 | Loss: 22.1325 | Reward: -78.3102 | Success: 1.53%
Meta-Iter 129/6400 | Loss: 89.7421 | Reward: -36.9352 | Success: 5.70%
Meta-Iter 130/6400 | Loss: 54.1656 | Reward: -56.5818 | Success: 3.68%
Meta-Iter 131/6400 | Loss: 67.5971 | Reward: -49.5140 | Success: 4.75%
Meta-Iter 132/6400 | Loss: 75.5202 | Reward: -59.8211 | Success: 3.52%
Meta-Iter 133/6400 | Loss: 22.2287 | Reward: -64.9601 | Success: 2.64%
Meta-Iter 134/6400 | Loss: 82.3954 | Reward: -50.2548 | Success: 4.79%
Meta-Iter 135/6400 | Loss: 35.0774 | Reward: -52.8886 | Success: 4.52%
Meta-Iter 136/6400 | Loss: 55.2258 | Reward: -38.7642 | Success: 6.45%
Meta-Iter 137/6400 | Loss: 83.3158 | Reward: -45.0007 | Success: 5.11%
Meta-Iter 138/6400 | Loss: 80.7637 | Reward: -51.8013 | Success: 4.46%
Meta-Iter 139/6400 | Loss: 90.3341 | Reward: -52.9091 | Success: 3.78%
Meta-Iter 140/6400 | Loss: 37.8498 | Reward: -70.5713 | Success: 2.21%
Meta-Iter 141/6400 | Loss: 26.8654 | Reward: -67.7821 | Success: 2.57%
Meta-Iter 142/6400 | Loss: 51.4090 | Reward: -58.5247 | Success: 3.45%
Meta-Iter 143/6400 | Loss: 37.3769 | Reward: -43.7549 | Success: 5.53%
Meta-Iter 144/6400 | Loss: 42.5584 | Reward: -54.7613 | Success: 4.23%
Meta-Iter 145/6400 | Loss: 53.8227 | Reward: -64.9551 | Success: 2.60%
Meta-Iter 146/6400 | Loss: 54.8086 | Reward: -38.9931 | Success: 5.92%
Meta-Iter 147/6400 | Loss: 29.8247 | Reward: -62.5771 | Success: 3.16%
Meta-Iter 148/6400 | Loss: 79.0869 | Reward: -48.4450 | Success: 4.85%
Meta-Iter 149/6400 | Loss: 30.1172 | Reward: -66.0392 | Success: 2.60%
Meta-Iter 150/6400 | Loss: 63.9496 | Reward: -46.3719 | Success: 5.31%
Saved Checkpoint to ./models/ at Meta-Iteration 150
Meta-Iter 151/6400 | Loss: 122.2291 | Reward: -34.1238 | Success: 6.15%
Meta-Iter 152/6400 | Loss: 37.8099 | Reward: -68.6377 | Success: 2.15%
Meta-Iter 153/6400 | Loss: 31.5493 | Reward: -71.4134 | Success: 2.05%
Meta-Iter 154/6400 | Loss: 47.4991 | Reward: -40.4834 | Success: 5.76%
